price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,PROPERTY SIZE,CONDITION,FURNISHING,PETS,FACILITIES,SERVICE CHARGE,AGENCY FEE,CAUTION FEE,LEGAL AND AGREEMENT FEE,TOTAL ROOMS,PARKING SPACE,HOUSING QUALITY,NEW PROPERTY,FURNISHED,SMOKING,PARTIES,BROKER FEE
"₦ 500,000","Lagos, Ikorodu",Block of Flats,3 bedrooms,3 bathrooms,per annum,Okeota ibeshe,Ajose okeota,700 sqm,Renovated,Furnished,No Pets,"Tiled Floor,Dining Area,Kitchen Shelf,Pop Ceiling,Wardrobe,Chandelier",,,,,,,,,,,,
"₦ 10,000,000","Lagos, Victoria Island",Apartment,3 bedrooms,3 bathrooms,per annum,Saduku,Vera,,Newly Built,Furnished,,"Balcony,Hot Water,Wardrobe,Dishwasher,Kitchen Shelf,24 Hours Electricity,Pre Paid Meter,Chandelier,Dining Area,Microwave,Tiled Floor,Kitchen Cabinets,Pop Ceiling,Apartment",,,,,,,,,,,,
"₦ 1,800,000","Lagos, Amuwo-Odofin",Apartment,3 bedrooms,4 bathrooms,per quarter,amuwo apple junction,olive,700 sqm,Newly Built,Semi-Furnished,Pets Allowed,"Dishwasher,Apartment,Hot Water,Kitchen Cabinets,24 Hours Electricity,Balcony,Wardrobe,Pop Ceiling,Chandelier,Tiled Floor,Kitchen Shelf,Dining Area",,,,,,,,,,,,
"₦ 6,000,000","Lagos, Lekki, Ikate",Duplex,3 bedrooms,3 bathrooms,per annum,ikate,ikate,,Newly Built,Semi-Furnished,,"24 Hours Electricity,Balcony,Wardrobe,Microwave,Tiled Floor,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Dining Area,Pre Paid Meter",Yes,,,,,,,,,,,
"₦ 1,615,640",none,Apartment,3 bedrooms,4 bathrooms,per annum,Off Alao Akala Expressway,Oluyole Area off Ring Road through Mobil,1200 sqm,Newly Built,Semi-Furnished,No Pets,"Tiled Floor,Wardrobe,Balcony,Kitchen Cabinets,Dining Area,Pre Paid Meter,Pop Ceiling,Kitchen Shelf,Hot Water",,,,,,,,,,,,
"₦ 600,000","Imo, Owerri",Apartment,3 bedrooms,4 bathrooms,per quarter,Behind Saga Suite New Owerri,,,Newly Built,Semi-Furnished,,"Tiled Floor,Pop Ceiling,Dining Area,Wardrobe,Kitchen Cabinets,Kitchen Shelf,Balcony,Pre Paid Meter",,,,,,,,,,,,
"₦ 2,500,000","Lagos, Gbagada, Medina",Block of Flats,3 bedrooms,4 bathrooms,per annum,abiola okeke,medina estate,800 sqm,Fairly Used,Furnished,,,,,,,,,,,,,,
"₦ 3,500,000","Lagos, Lekki, Osapa london",Block of Flats,3 bedrooms,3 bathrooms,per quarter,osapa london,osapa,,Newly Built,Unfurnished,,24 Hours Electricity,,,,,,,,,,,,
"₦ 2,000,000","Lagos, Ikeja, Omole Phase 1",Apartment,3 bedrooms,3 bathrooms,per annum,Omole Phase 1,Omole Phase 1,,Renovated,Unfurnished,No Pets,"Dining Area,Pop Ceiling,Chandelier,24 Hours Electricity,Kitchen Cabinets,Pre Paid Meter,Kitchen Shelf,Tiled Floor,Wardrobe,Balcony",Yes,10,200000,,,,,,,,,
"₦ 480,000",none,Block of Flats,3 bedrooms,2 bathrooms,per quarter,NTA apara link road,,,Fairly Used,Furnished,Pets Allowed,Pre Paid Meter,Yes,10,10,10,,,,,,,,
"₦ 10,000,000","Kaduna, Kaduna / Kaduna State",House,3 bedrooms,4 bathrooms,per annum,kaduna south,,,Fairly Used,Furnished,,"Kitchen Shelf,Dining Area,Kitchen Cabinets,Hot Water,Pre Paid Meter,Pop Ceiling,24 Hours Electricity,Chandelier",,,,,,,,,,,,
